,latitude,longitude
553,1.30316,103.78822
554,1.29807,103.78824
555,1.2984,103.78827
556,1.29342,103.78837
557,1.29954,103.78862
558,1.29804,103.78869
559,1.29761,103.789
560,1.31107,103.789
561,1.30841,103.78927
562,1.27749,103.7896
563,1.30561,103.7897
564,1.27688,103.78979
565,1.44451,103.7898
566,1.30563,103.78987
567,1.30564,103.78993
568,1.34518,103.78999
569,1.30551,103.79
570,1.43651,103.79
571,1.30521,103.79021
572,1.28808,103.79028
573,1.40509,103.79041
574,1.30507,103.79048
575,1.30646,103.7906
576,1.30681,103.7908
577,1.44455,103.79104
578,1.31036,103.79117
579,1.31176,103.79153
580,1.30517,103.792
581,1.29336,103.79274
582,1.27621,103.79279
583,1.44607,103.79281
584,1.30685,103.79329
585,1.30732,103.79344
586,1.30673,103.79346
587,1.41399,103.79361
588,1.45697,103.79402
589,1.29629,103.79429
590,1.44868,103.7944
591,1.44896,103.7946
592,1.33102,103.79472
593,1.43396,103.79473
594,1.44846,103.7948
595,1.45779,103.7949
596,1.44904,103.795
597,1.45407,103.79513
598,1.44925,103.7952
599,1.4493,103.7953
600,1.44694,103.7954
601,1.45515,103.79569
602,1.44952,103.7957
603,1.33124,103.79608
604,1.43503,103.79628
605,1.44276,103.79634
606,1.27451,103.79654
607,1.30385,103.79657
608,1.44732,103.79701
609,1.3138,103.7971
610,1.43691,103.7972
611,1.29177,103.7977
612,1.30071,103.7984
613,1.27472,103.79892
614,1.29517,103.79903
615,1.27478,103.79915
616,1.4415,103.79921
617,1.27465,103.7994
618,1.45821,103.79941
619,1.45858,103.79945
620,1.45656,103.7997
621,1.27388,103.79975
622,1.31028,103.79977
623,1.44535,103.80008
624,1.28483,103.80027
625,1.28348,103.80111
626,1.44305,103.80118
627,1.44854,103.8012
628,1.27317,103.80147
629,1.28224,103.80147
630,1.44808,103.80153
631,1.44199,103.80162
632,1.27422,103.80185
633,1.27326,103.8019
634,1.27575,103.80199
635,1.27609,103.80208
636,1.2808,103.80223
637,1.34296,103.80241
638,1.28396,103.8025
639,1.28142,103.80275
640,1.30854,103.8028
641,1.27867,103.80306
642,1.31113,103.8032
643,1.29564,103.80335
644,1.288682,103.8034
645,1.46259,103.80362
646,1.31144,103.80395
647,1.44333,103.8043
648,1.45032,103.80454
649,1.44265,103.8046
650,1.28708,103.80476
651,1.44274,103.80476
652,1.32767,103.80494
653,1.29238,103.80499
654,1.28244,103.80536
655,1.43534,103.80556
656,1.28831,103.80557
657,1.28875,103.8059
658,1.44689,103.8059
659,1.4133,103.80614
660,1.2822,103.80628
661,1.29482,103.8069
662,1.317275,103.807
663,1.45181,103.8072
664,1.2861,103.80751
665,1.27288,103.80756
666,1.29132,103.8078
667,1.29252,103.80792
668,1.28607,103.80829
669,1.29119,103.80911
670,1.27593,103.80915
671,1.2818,103.80936
672,1.30847,103.80936
673,1.28156,103.80969
674,1.3221,103.80996
675,1.27275,103.81
676,1.28666,103.81
677,1.25816,103.81008
678,1.30544,103.8107
679,1.28982,103.81099
680,1.46571,103.81105
681,1.2728,103.81124
682,1.2716,103.8113
683,1.32013,103.8113
684,1.27283,103.81134
685,1.27656,103.81155
686,1.4506,103.81181
687,1.2814,103.81182
688,1.32324,103.81206
689,1.4495,103.81218
690,1.3212,103.81276
691,1.46405,103.8138
692,1.46901,103.81412
693,1.45641,103.8145
694,1.45451,103.81491
695,1.2689,103.81505
696,1.46164,103.81515
697,1.29185,103.81553
698,1.27603,103.81558
699,1.29359,103.81582
700,1.32268,103.81591
701,1.29438,103.816
702,1.33387,103.8161
703,1.4632,103.81654
704,1.46316,103.81656
705,1.25614,103.81685
706,1.45799,103.8171
707,1.27941,103.81729
708,1.27805,103.81745
709,1.40228,103.8176
710,1.28075,103.81784
711,1.26541,103.81818
712,1.25684,103.81823
713,1.26639,103.81824
714,1.3086,103.81846
715,1.2824,103.81858
716,1.44907,103.81866
717,1.26607,103.81884
718,1.28213,103.81887
719,1.26589,103.81888
720,1.28156,103.81912
721,1.25295,103.8192
722,1.28356,103.81931
723,1.25476,103.81949
724,1.44673,103.81953
725,1.44944,103.8196
726,1.32189,103.81965
727,1.30727,103.81966
728,1.29954,103.81972
729,1.30681,103.81972
730,1.30712,103.81974
731,1.28302,103.81985
732,1.28311,103.81992
733,1.26595,103.82
734,1.28345,103.82024
735,1.26406,103.82075
736,1.4513,103.82095
737,1.28279,103.8212
738,1.28256,103.82166
739,1.26543,103.82173
740,1.2654,103.82195
741,1.45815,103.8222
742,1.29999,103.82243
743,1.30478,103.8225
744,1.30531,103.82263
745,1.41378,103.82281
746,1.27446,103.82293
747,1.27634,103.82312
748,1.3009,103.82348
749,1.25702,103.82366
750,1.28124,103.82366
751,1.26422,103.82368
752,1.26426,103.82368
753,1.26129,103.8237
754,1.25822,103.82372
755,1.2635,103.82372
756,1.26331,103.82373
757,1.26489,103.82374
758,1.27858,103.82377
759,1.30398,103.82384
760,1.26646,103.82385
761,1.27843,103.82397
762,1.27633,103.82437
763,1.28158,103.82446
764,1.25501,103.82448
765,1.26563,103.82449
766,1.44078,103.8245
767,1.41979,103.8246
768,1.26763,103.8247
769,1.28145,103.82473
770,1.27759,103.82481
771,1.30542,103.82495
772,1.28128,103.82504
773,1.26968,103.82506
774,1.2859,103.82511
775,1.44635,103.82511
776,1.25395,103.82535
777,1.25424,103.82552
778,1.25454,103.82558
779,1.25437,103.82562
780,1.25394,103.82563
781,1.25433,103.82563
782,1.2544,103.82563
783,1.275234,103.8257
784,1.29307,103.8257
785,1.30454,103.82571
786,1.29227,103.82585
787,1.46223,103.82585
788,1.30059,103.82593
789,1.31061,103.82593
790,1.31113,103.8261
791,1.306,103.8262
792,1.25325,103.82634
793,1.38182,103.82641
794,1.38586,103.82654
795,1.282547,103.8266
796,1.26702,103.8267
797,1.26715,103.82672
798,1.27127,103.8269
799,1.27508,103.8269
800,1.43011,103.82701
801,1.28004,103.82723
802,1.30859,103.82733
803,1.2941,103.8274
804,1.42966,103.82749
805,1.37954,103.8275
806,1.28231,103.82789
807,1.28127,103.828
808,1.26897,103.82815
809,1.42946,103.82834
810,1.3078,103.82836
811,1.29888,103.82852
812,1.2791,103.82882
813,1.30715,103.8289
814,1.30737,103.829
815,1.30799,103.82907
816,1.28899,103.82916
817,1.27878,103.8292
818,1.36789,103.8293
819,1.27919,103.82946
820,1.28384,103.82947
821,1.30382,103.8298
822,1.29891,103.82992
823,1.27833,103.83015
824,1.28594,103.8302
825,1.44303,103.8302
826,1.3854,103.83027
827,1.3059,103.83046
828,1.2761,103.8306
829,1.30327,103.8306
830,1.4284,103.83068
